Shift_ID,Operator_ID,Machine_ID,Shift_Date,Start_Time,End_Time
3001,1003,215,2025-03-20,08:00:00,16:00:00
3002,1003,209,2025-03-18,08:00:00,16:00:00
3003,1006,204,2025-04-04,08:00:00,16:00:00
3004,1006,216,2025-03-30,08:00:00,16:00:00
3005,1003,204,2025-03-19,08:00:00,16:00:00
3006,1006,204,2025-03-24,08:00:00,16:00:00
3007,1011,216,2025-03-13,08:00:00,16:00:00
3008,1018,201,2025-03-21,08:00:00,16:00:00
3009,1003,220,2025-03-12,08:00:00,16:00:00
3010,1006,203,2025-03-16,08:00:00,16:00:00
3011,1008,212,2025-03-30,08:00:00,16:00:00
3012,1019,208,2025-03-30,08:00:00,16:00:00
3013,1011,217,2025-03-21,08:00:00,16:00:00
3014,1011,212,2025-03-20,08:00:00,16:00:00
3015,1006,218,2025-03-30,08:00:00,16:00:00
3016,1006,218,2025-03-28,08:00:00,16:00:00
3017,1011,201,2025-03-27,08:00:00,16:00:00
3018,1003,202,2025-04-01,08:00:00,16:00:00
3019,1011,201,2025-03-27,08:00:00,16:00:00
3020,1006,207,2025-04-04,08:00:00,16:00:00
